Content,Date,User
El caso Ana Gabriela Guevara el caso Paloma Rachel Aguilar el caso el hermano de usted que dice que ya se acabo el tiempo de la corrupcion de pura pinche tranza veo a todos los mexicanos mirandose en que cambio esto? Mejor me hubiera muerto de coronavirus.,23 ago.,@lx_guzman
"¡Que así sea! 
Es histórica la responsabilidad que tiene la @FGRMexico.",23 ago.,@CitlaHM
"México podría ser ejemplo de muchas cosas buenas, pero con López Obrador solo ha sido ejemplo de lo que NO se debe hacer. La ineptitud, negligencia, irresponsabilidad y corrupción de su gobierno no tienen precedente.
Morena es lo peor que le ha pasado a nuestro país.",22 ago.,@aracelibs
"- ¿A cuánto asciende el dinero recibido de forma ilegal para su campaña? 
- ¿Pagará MORENA multa por financiación ilegal de su campaña?
-¿Cómo evasor de fiscal hará declaración al @SATMX y pagará lo que debe o para usted no aplica la ley?

-(El discurso anticorrupción ha caído)",22 ago.,@Funesta
"Oye güelito, una pregunta; porqué si hasta apenas el pasado jueves leíste completa la declaración de Lozoya, cómo supiste que hubo una reunión en Los Pinos con el Consejo de Odebrecht, dos semanas antes de que lo declarara Lozoya, no ""ajustaste"" a Lozoya antes de declarar verdad?",22 ago.,@la_grenitas
"También que investiguen a un tal Pío López Obrador, David León Romero, Manuel Bartlett, Ana Guevara, Irma Sandoval, Pablo Amilcar Sandoval, John Ackerman, Alfonso Romo, Gabriel García Hernández, etc etc",22 ago.,@avieu
Pinches corruptos. Son iguales a los otros culeros a los que culpan de todo.,22 ago.,@OsNoCa
¿También en el caso de Pío López Obrador se va a llegar a fondo o aquí no aplica?,22 ago.,@ChumelTorres
"Asume responsabilidad de las “aportaciones” que no declaraste, corrupto.",22 ago.,@johnwickmx
"Eres el estandarte del cambio, deseamos ver a los corruptos a la cárcel, a todos.

Los jóvenes están contigo, saludos!!",22 ago.,@YosoyPedrero
"@lopezobrador_ @BeatrizGMuller las aportaciones recibidas por los héroes revolucionarios fueron anteriores a la Constitución de 1917, al Cofipe y a la ley del INE.  En aquellos, la ley no se aplicaría de manera retroactiva. Hoy, Pío, LeónZoya, y AMLO son delincuentes electorales.",22 ago.,@mercedhernandez
"@lopezobrador_  ¿Nos puedes explicar la situación fiscal de las ""aportaciones"" recibidas por conducto de tu hermanito?
¿Si conoces la ley del INE en relación a las ""aportaciones""?
#LosLopezTambienRoban",22 ago.,@CanallaPerro
"Rata de porquería esperamos tu renuncia.
@lopezobrador_ #PioPio #AmloCorruptoMafioso #AMLOcorrupto",22 ago.,@chuchodiazg
"El único ejemplo que puedes poner es el de la corrupción.

Cometiste delito electoral.",22 ago.,@Quetzal0518
"¿Quiere que México sea ejemplo mundial?:

-Use cubrebocas por respeto a las 60,000 familias mexicanas que hoy están de luto. Hoy México tiene el deshonroso 3er lugar a nivel mundial de muertes por COVID.

-Deje los argüendes que solo terminan salpicándolo.

-Póngase a trabajar.",22 ago.,@cparadal
"Buen día Mi corrupto mayor...

Tantos años de hocicon que ahora ya no sabes qué decir ni cómo limpiarte de toda la mierda que te rodea. Que tristeza tu engaño a millones y tu soberbia. 

#AmloDelincuenteConfeso 🇲🇽✍🏻",22 ago.,@Andyrocksmx
Señor Presidente Andrés Manuel López Obrador Cheque Usted Por Favor A Todos Los Policas de el país Siguen Igual de Corruptos que Antes Agreden mucho al Pueblo acá En El Estado de Veracruz Ni se Diga....( Por Favor se lo pido ),22 ago.,@Guadalu15259037
Puta Rata #Putarata #AmloCorruptoMafioso,22 ago.,@EmilAguilar331
@lopezobrador_ #EsUnHonorRobarConObrador #EsUnHonorRobarConObrador #EsUnHonorRobarConObrador #EsUnHonorRobarConObrador #EsUnHonorRobarConObrador #EsUnHonorRobarConObrador #EsUnHonorRobarConObrador #EsUnHonorRobarConObrador #EsUnHonorRobarConObrador lógica AMLOVER check 🤷🏻‍♂️,22 ago.,@cuervo_angel
"@lopezobrador_  quiso chamaquear y lo chamaquearon.
Abrió su primera carta para asustar a sus oponentes, (nadie sabe realmente cuantos videos trae Lozoya bajo el brazo y a quienes implican de manera directa).
1/6",22 ago.,@LaCorregidora5
@lopezobrador_ vete a la verga #NoSomosIguales,21 ago.,@Juancar81321241
El caso Granier (de mi hermano Pío)  es muestra de la impunidad reinante. Como aportó dinero a la campaña de EPN (Mi partido Morena) le toleran hasta que ofenda con su desfachatez.,21 ago.,@xavier_tata_
"@lopezobrador_ me das ASCO! Eres hipócrita, mentiroso, corrupto, ratero, asesino, cobarde; representas lo peor de la sociedad; vas directo al infierno. Te queda perfecto tu apodo de #ElCacas todo lo que tocas lo haces mierda!",21 ago.,@polosur
"""Aportaciones"" 🤣🤣🤣 eso te lo vamos a recalcar en las urnas López lopin lopillin!",21 ago.,@josemarmed
"Corrupto, despreciable mafioso, todavía si tuvieras bien la economía y controlada la pandemia 

Pero resulta que van millones de nuevos pobres 

60,000 muertes por COVID 
60,000 por la violencia 

12 millones de nuevos pobres

Eres lo peor que le pudo pasar a México",21 ago.,@ARSAL_es
"Layin López Obrador, jajajajajajajajaja

Robamos....pero poquito a la gente de Chiapas y sus impuestos. 

Y cuántas veces fueron? Cuanto dinero? Por cuanto.tiempo??? Pasó lo mismo en la CDMX?? 

JAJAJAJJAJAJAAJAAJAAA

Pero pero pero no zemoz ygualez

#NiPio #layin",21 ago.,@WOLVERINESMx
"Se robaron dinero de los indígenas de Chiapas para tu campaña eterna.
Hay muchas pruebas que irán saliendo.
Otra serie de Netflix.
🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤🐤",21 ago.,@BerthisBonita
Excelente viernes señor presidente animo viejón.  😄,21 ago.,@gerardoaz1993
"Oiga: como usted es mi empleado, le exijo que mande a quien quiera a donde pueda a conseguir MEDICAMENTOS oncológicos. Los niños se están muriendo.
Usted es un criminal y como tal va a ser juzgado.",20 ago.,@ElAmaDeCasa1
"Viva México 🇲🇽

Todos con AMLO!

Ni un paso atrás!

#NuevoLeon",20 ago.,@ROMM750515
"Bien lo dice el dicho: ""Dime de lo que presumes y te diré de lo que caraces..""
💩Autoridad moral ❌ Doble Moral
💩Incorruptible❌🐀 Corrupción más viva que nunca 
💩Defenderé a MX va Trun❌🧹🧓🏾 es la chacha de 🇺🇲
💩Crearé empleos❌12m de empleos perdidos
💩El PIB crecerá 6%❌-19%",21 ago.,@MrsEliDarcy
"Ay, me robaron la elección los poderes facticos... Como serás chillón. Y tu que tal, un corruptazo de primera. Que asco de presidente, tienes razón no eres igual que los otros. Tu eres peor... (y muy muy inepto)",21 ago.,@MarcoAosorio
Viva nuestro Presidente 🙌🙏,21 ago.,@Yolandi70469476
Rata asquerosa!! Eres peor que todos.,21 ago.,@MarlonL77894778
"Ya sabías de los videos pero se te pasó preguntarle a David León de dónde venía el dinero, total ya era costumbre limosnear valiendo de dónde viniera, para ti todos son pueblo.
No vas a reclamar a los medios más difusión para el video de tu hermano?
Corruptín canallín!",21 ago.,@OsvaldoLuciotto
Algún comentario de los vídeos en donde claramente se ve a su estrella corrupta David entregando fajos de dinero sucio a tu hermano Pio ?  No q combate a la corrupción ?  Mentiroso,21 ago.,@MonomitoMex
Ya van a venir los tarados a decir lo del hermano de amlo.....🤐🤐🤣🤣🤣🤣🤣,21 ago.,@Cesarroymtz
"@lopezobrador_ dirá algo, o no dirá ni PÍO?

Ahora ya se sabe cómo vivió ""sin cuentas bancarias"" y con solo $200 pejitos en la cartera.

18 años en campaña,  y su hermano se encargaba de las recolectas millonarias.

López y MORENA son igual de #Corruptos que los que tanto critica",21 ago.,@CODIGO_NEGROMX
"El pueblo se cansa de tanta che tranza  #PioLopezObrador
#PIOLOPEZOBRADOR",21 ago.,@mexicanoHLM
@lopezobrador_ Buenas noches mi respetable señor presidente Andrés Manuel López Obrador con todo respeto suplico apoyo para una vuvienda Por favor gracias,21 ago.,@Lucila38785527
Sr presidente un favor deje de dedicarse a calumniar ex presidentes y diputados y todo al que cree su opcitor a ud no lo interesa hacer justicia solo votos para 2021 y poder cambiar la constitución y poder seguir en el poder por años eternos no nos quiera ver cara de tontos,20 ago.,@JuliaSegundo3
"@lopezobrador_  como ciudadano exijo elimine la multa impuesta por la funcion publica a la revista nexos
eso es atentar contra la libre expresion",20 ago.,@pacorr77
"@lopezobrador_ necesitamos su apoyo en Ciudad Juarez, estamos viviendo una revolucion local donde el pueblo esta cansado del actual alcalde y esto no lo cubren los medios @JUAREZMANDATO #fueracabada",20 ago.,@JovannyOrtiz20
Orgulloso de mi presidente!!!,20 ago.,@AdalEsime
"VA DE NUEVO:

SIN IMPORTAR LO QUE DECLARE LOZOYA, QUIEN CAIGA EN LA CÁRCEL Y LO QUE DIGA Y CHILLE EL ANCIANO REMEDO DE DICTADOR

¡NO VOTAREMOS POR MORENA!

Entiende; inepto, engañabobos y poco hombre @lopezobrador_ ya te vas a ""La Chingada"" junto con tus delincuentes de MORENA.",20 ago.,@JosEverardo16
